,actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,value,gameid
728,7,PT11M41.00S,2021-02-09T01:40:40.3Z,1,REGULAR,3pt,Jump Shot,[],204001,11.383048620236531,4.4806985294117645,1610612742,3,0,2021-02-09T01:40:45Z,70000,228.0,55.0,1,left,K. Porzingis 3PT step back (3 PTS) (J. Richardson 1 AST),"[204001, 1626196]",1610612742.0,DAL,step back,,,Porzingis,K. Porzingis,,,,,,,,23.4,Made,3.0,J. Richardson,1626196.0,1.0,,,,,,,,,,,,,0022000370
730,9,PT11M19.00S,2021-02-09T01:40:54.6Z,1,REGULAR,3pt,Jump Shot,[],203110,33.459264126149804,54.72579656862745,1610612744,0,3,2021-02-09T01:40:59Z,90000,-24.0,262.0,1,left,D. Green 26' 3PT  (3 PTS) (K. Oubre Jr. 1 AST),"[203110, 1626162]",1610612744.0,GSW,,,,Green,D. Green,,,,,,,,26.31,Made,3.0,K. Oubre Jr.,1626162.0,1.0,,,,,,,,,,,,,0022000371
734,14,PT11M00.00S,2021-02-09T02:12:01.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],203083,11.12023653088042,47.61795343137255,1610612739,0,2,2021-02-09T02:12:06Z,140000,12.0,52.0,1,left,A. Drummond Hook (2 PTS),[203083],1610612739.0,CLE,,,,Drummond,A. Drummond,,,,,,,,5.33,Made,2.0,,,,,,,,,,,,,,,,0022000372
731,7,PT11M40.00S,2021-02-09T02:40:49.1Z,1,REGULAR,3pt,Jump Shot,[],200794,7.703679369250986,96.8826593137255,1610612743,3,0,2021-02-09T02:40:53Z,70000,-234.0,20.0,1,left,P. Millsap 3PT  (3 PTS) (N. Jokic 1 AST),"[200794, 203999]",1610612743.0,DEN,,,,Millsap,P. Millsap,,,,,,,,23.52,Made,3.0,N. Jokic,203999.0,1.0,,,,,,,,,,,,,0022000373
735,15,PT11M19.00S,2021-02-09T03:11:41.2Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],203471,,,1610612747,1,0,2021-02-09T03:11:41Z,150000,,,0,,D. Schroder Free Throw 1 of 2 (1 PTS),[203471],1610612747.0,LAL,,,,Schroder,D. Schroder,,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,0022000374
721,7,PT11M41.00S,2021-02-10T00:11:01.2Z,1,REGULAR,3pt,Jump Shot,[],203925,75.73915900131406,87.67616421568627,1610612751,0,3,2021-02-10T00:12:23Z,70000,188.0,176.0,1,right,J. Harris 25' 3PT  (3 PTS) (K. Irving 1 AST),"[203925, 202681]",1610612751.0,BKN,,,,Harris,J. Harris,,,,,,,,25.75,Made,3.0,K. Irving,202681.0,1.0,,,,,,,,,,,,,0022000375
722,7,PT11M46.00S,2021-02-10T00:41:55.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203482,6.783837056504599,48.10814950980392,1610612748,2,0,2021-02-10T00:42:03Z,70000,9.0,11.0,1,left,K. Olynyk cutting Layup (2 PTS) (J. Butler 1 AST),"[203482, 202710]",1610612748.0,MIA,cutting,,,Olynyk,K. Olynyk,,,,,,,,1.48,Made,2.0,J. Butler,202710.0,1.0,,,,,,,,,,,,,0022000376
726,8,PT11M41.00S,2021-02-10T00:45:36.6Z,1,REGULAR,3pt,Jump Shot,[],1628366,79.31997371879106,90.26501225490196,1610612740,3,0,2021-02-10T00:45:40Z,80000,201.0,142.0,1,right,L. Ball 24' 3PT  (3 PTS) (E. Bledsoe 1 AST),"[1628366, 202339]",1610612740.0,NOP,,,,Ball,L. Ball,,,,,,,,24.63,Made,3.0,E. Bledsoe,202339.0,1.0,,,,,,,,,,,,,0022000377
727,16,PT10M42.00S,2021-02-10T01:42:07.7Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627749,79.58278580814718,22.61795343137255,1610612759,2,0,2021-02-10T01:42:13Z,160000,-137.0,139.0,1,right,D. Murray 19' pullup Jump Shot (2 PTS) (D. DeRozan 1 AST),"[1627749, 201942]",1610612759.0,SAS,pullup,,,Murray,D. Murray,,,,,,,,19.54,Made,2.0,D. DeRozan,201942.0,1.0,,,,,,,,,,,,,0022000378
723,15,PT11M02.00S,2021-02-10T03:17:08.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1627759,63.55124835742444,55.70618872549019,1610612738,0,3,2021-02-10T03:17:16Z,150000,29.0,290.0,1,right,J. Brown 29' 3PT  (3 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,,,,29.15,Made,3.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,0022000379
